ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
10000511,Башкирский институт технологий и управления (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"45,7",N/A,N/A,N/A
12012718,"Башкирский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","296,3",N/A,N/A,N/A
10000049,"Бирский филиал Федерального государственного бюджетного образовательного учреждения высшего образования "" Башкирский государственный университет""","22,9",N/A,N/A,N/A
10000286,"Бугульминский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технологический университет""","2,8",N/A,N/A,N/A
10000633,"Бузулукский гуманитарно-технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Оренбургский государственный университет""","49,5",N/A,N/A,N/A
10000390,"Волго-Вятский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)""",N/A,N/A,"1 030,9",N/A
10000402,"Волжский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)""","24,4",N/A,N/A,N/A
10000254,"Воткинский филиал федерального государственнного бюджетного образовательного учреждения высшего образования ""Ижевский государственный технический университет имени М.Т. Калашникова"" ","6,5",N/A,N/A,N/A
10000174,"Выксунский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский технологический университет ""МИСиС""","1,8",N/A,N/A,N/A
10000256,"Глазовский инженерно-экономический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Ижевский государственный технический университет имени М.Т. Калашникова""","8,6",N/A,N/A,N/A
10000576,"Дзержинский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им.Н.И.Лобачевского""","65,2",N/A,N/A,N/A
10006732,"Дзержинский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","266,8",N/A,N/A,N/A
10003428,Димитровградский инженерно-технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"61,0",N/A,N/A,N/A
10006527,"Елабужский институт (филиал) федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""","115,0",N/A,N/A,N/A
10000279,"Зеленодольский институт машиностроения и информационных технологий (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ""","2,5",N/A,N/A,N/A
10006807,Ижевский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"445,6",N/A
12012708,"Ижевский филиал автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","40,8",N/A,N/A,N/A
10001219,"Инзенский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Ульяновский государственный университет""","23,7",N/A,N/A,N/A
10006810,Казанский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"732,8",N/A
12012719,"Казанский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","1 812,4",N/A,N/A,N/A
12012918,Казанский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений» ,"19,3",N/A,N/A,N/A
12012745,Казанский филиал РМАТ,"80,2",N/A,N/A,N/A
10006948,"Казанский филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия""(г. Казань)","24,5",N/A,N/A,N/A
10110322,Кировский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"207,9",N/A,N/A,N/A
12012801,"Кировский филиал Аккредитованного образовательного частного учреждения высшего образования ""Московский финансово-юридический университет МФЮА""","218,0",N/A,N/A,N/A
10006740,Кировский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,"52,5",N/A,N/A,N/A
10000636,"Кумертауский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Оренбургский государственный университет""","46,4",N/A,N/A,N/A
10000280,"Лениногорский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ"" (ЛФ КНИТУ-КАИ)","89,8",N/A,N/A,N/A
10000288,"Набережночелнинский институт (филиал) федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""","634,3",N/A,N/A,N/A
12012739,"Набережночелнинский филиал Учреждения высшего образования ""Университет управления ""ТИСБИ""","115,9",N/A,N/A,N/A
10000281,"Набережночелнинский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ"" (НЧФ КНИТУ-КАИ)","6,7",N/A,N/A,N/A
10006918,"Набережночелнинский филиал частного образовательного учреждения высшего образования ""Казанский инновационный университет имени В.Г.Тимирясова (ИЭУП)""","244,6",N/A,N/A,N/A
10000048,Нефтекамский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Башкирский государственный университет»,"36,2",N/A,N/A,N/A
12013068,Нижегородский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"69,5",N/A,N/A,N/A
1813,Нижегородский институт управления – филиал РАНХиГС,"1 242,5",N/A,N/A,N/A
10006622,"Нижегородский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский университет ""Высшая школа экономики""","1 544,6",N/A,N/A,N/A
10006919,"Нижнекамский филиал частного образовательного учреждения высшего образования ""Казанский инновационный университет имени В.Г. Тимирясова (ИЭУП)""","87,0",N/A,N/A,N/A
10000284,"Нижнекамский химико-технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технологический университет""","4,1",N/A,N/A,N/A
10000173,"Новотроицкий филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский технологический университет ""МИСиС""","14,3",N/A,N/A,N/A
10000389,"Оренбургский институт (филиал) федерального государственного бюджетного образовательного учреждение высшего образования ""Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)"" ",N/A,N/A,"895,7",N/A
10006650,"Оренбургский институт путей сообщения - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный университет путей сообщения""","11,3",N/A,N/A,N/A
12012919,Оренбургский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,"33,5",N/A,N/A,N/A
10001818,"Оренбургский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","153,7",N/A,N/A,N/A
10000813,Оренбургский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"341,1",N/A,N/A,N/A
10000631,"Орский гуманитарно-технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Оренбургский государственный университет""","79,8",N/A,N/A,N/A
12012803,Орский филиал Аккредитованного образовательного частного учреждения высшего образования «Московский финансово-юридический университет МФЮА»,"69,1",N/A,N/A,N/A
10000578,"Павловский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им.Н.И.Лобачевского""","23,6",N/A,N/A,N/A
10000521,Пензенский казачий институт технологий (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"37,9",N/A,N/A,N/A
10006964,"Пензенский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","197,6",N/A,N/A,N/A
10003267,Пермский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"247,8",N/A,N/A,N/A
10006623,"Пермский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский университет ""Высшая школа экономики""","1 105,4",N/A,N/A,N/A
10001820,"Пермский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","173,3",N/A,N/A,N/A
10006811,Поволжский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Саратове,N/A,N/A,"206,4",N/A
10001822,Поволжский институт управления - филиал РАНХиГС,"1 812,9",N/A,N/A,N/A
10003337,Поволжский казачий институт управления и пищевых технологий (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"69,1",N/A,N/A,N/A
12012715,"Поволжский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет коопераци","157,8",N/A,N/A,N/A
10006949,"Приволжский филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия"" (г. Нижний Новгород)",N/A,N/A,"693,7",N/A
10002185,"Самарский филиал Государственного автономного образовательного учреждения высшего образования города Москвы ""Московский городской педагогический университет""","53,9",N/A,N/A,N/A
12013938,"Самарский филиал негосударственного образовательного учреждения высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""","5,8",N/A,N/A,N/A
12012720,"Саранский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","449,3",N/A,N/A,N/A
10000255,"Сарапульский политехнический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Ижевский государственный технический университет имени М.Т.Калашникова""","12,9",N/A,N/A,N/A
10003307,Саровский физико-технический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"23,0",N/A,N/A,N/A
10000046,"Сибайский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования "" Башкирский государственный университет""","53,4",N/A,N/A,N/A
10006816,Средне-Волжский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Саранске,N/A,N/A,"502,0",N/A
10000047,"Стерлитамакский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Башкирский государственный университет""","273,0",N/A,N/A,N/A
10000909,Сызранский филиал федерального государственного автономного образовательного учреждения высшего образования Самарский государственный экономический университет,"35,0",N/A,N/A,N/A
10001841,"Ульяновский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","163,0",N/A,N/A,N/A
10006967,"Уфимский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","498,7",N/A,N/A,N/A
140143624,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Пермском крае",N/A,N/A,"15,1",N/A
10001213,"Филиал ФГБОУ ВО ""Удмуртский государственный университет"" в г. Воткинске","38,0",N/A,N/A,N/A
10001212,"филиал ФГБОУ ВО ""Удмуртский государственный университет"" в г. Можге","3,0",N/A,N/A,N/A
10000831,"Филиал федерального государственного автономного образовательного учреждения высшего образования ""Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина"" в г.Оренбурге","4,4",N/A,N/A,N/A
14014263,"Филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный технический университет"" в г. Белебее Республики Башкортостан","4,0",N/A,N/A,N/A
14013220,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный технический университет"" в г. Новокуйбышевске","53,4",N/A,N/A,N/A
10000903,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный технический университет"" в г. Сызрань","79,1",N/A,N/A,N/A
14014378,"Филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный университет путей сообщения"" в г. Нижнем Новгороде","7,8",N/A,N/A,N/A
12012796,"Филиал Частного образовательного учреждения высшего образования ""Московский университет им.С.Ю.Витте"" в г. Нижнем Новгороде","85,4",N/A,N/A,N/A
12012795,"Филиал Частного образовательного учреждения высшего образования ""Московский университет им.С.Ю.Витте"" в г. Пензе","86,8",N/A,N/A,N/A
12013077,Чебоксарский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"99,6",N/A,N/A,N/A
14014191,Чебоксарский институт (филиал) Московского политехнического университета,"122,2",N/A,N/A,N/A
12012711,"Чебоксарский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","361,6",N/A,N/A,N/A
10001844,"Чебоксарский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","220,0",N/A,N/A,N/A
10000273,"Чистопольский филиал ""Восток"" федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ"" (ЧФ КНИТУ-КАИ)","16,0",N/A,N/A,N/A
5519,"Автономная некоммерческая организация ""Образовательная организация высшего образования"" ""Университет экономики и управления""","260,3",N/A,N/A,N/A
111233,"Автономная некоммерческая организация высшего образования ""Волгоградский гуманитарный институт""","2,2",N/A,N/A,N/A
2008,"Автономная некоммерческая организация высшего образования ""Волгоградский институт бизнеса""","28,1",N/A,N/A,N/A
110155,"государственное автономное образовательное учреждение Астраханской области высшего образования ""Астраханский государственный архитектурно-строительный университет""","136,5",N/A,N/A,N/A
5516,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым ""Крымский инженерно-педагогический университет имени Февзи Якубова""","568,2",N/A,N/A,N/A
110167,"Муниципальное бюджетное образовательное учреждение высшего образования ""Волжский институт экономики, педагогики и права""","209,2",N/A,N/A,N/A
1817,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий – ИМСИТ» (г. Краснодар),"446,8",N/A,N/A,N/A
1855,"Негосударственное частное некоммерческое образовательное учреждение высшего образования ""Армавирский гуманитарно-социальный институт""","7,2",N/A,N/A,N/A
2009,"Негосударственное частное образовательное учреждение высшего образования ""Армавирский лингвистический социальный институт""","6,5",N/A,N/A,N/A
110231,"Образовательная автономная некоммерческая организация высшего образования ""Институт мировой экономики и финансов""","39,8",N/A,N/A,N/A
110297,"Образовательное частное учреждение высшего образования ""Международный инновационный университет""","141,4",N/A,N/A,N/A
1934,Образовательное частное учреждение высшего образования «Армавирский социально-психологический институт»,"6,0",N/A,N/A,N/A
337,"Федеральное государственное автономное образовательное учреждение высшего образования ""Южный федеральный университет""","1 397,5",N/A,N/A,N/A
36,федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,"620,9",N/A,N/A,N/A
113416,федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В.И.Вернадского»,"1 671,7",N/A,N/A,N/A
113437,федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»,"821,7",N/A,N/A,N/A
9,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Армавирский государственный педагогический университет""","32,1",N/A,N/A,N/A
1563,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Астраханский государственный технический университет""","607,8",N/A,N/A,N/A
34,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный социально-педагогический университет""","44,2",N/A,N/A,N/A
108,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кубанский государственный технологический университет""","1 003,4",N/A,N/A,N/A
228,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ростовский государственный экономический университет (РИНХ)""","2 869,3",N/A,N/A,N/A
1,федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»,"273,8",N/A,N/A,N/A
11,федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»,"477,2",N/A,N/A,N/A
1697,федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный аграрный университет»,"406,6",N/A,N/A,N/A
1597,федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный медицинский университет» Министерства здравоохранения Российской Федерации,"115,7",N/A,N/A,N/A
35,федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет»,"724,4",N/A,N/A,N/A
1768,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный морской университет имени адмирала Ф.Ф. Ушакова»,"401,6",N/A,N/A,N/A
1671,федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный аграрный университет»,"17,6",N/A,N/A,N/A
70,федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет»,"1 363,3",N/A,N/A,N/A
92,федеральное государственное бюджетное образовательное учреждение высшего образования «Калмыцкий государственный университет имени Б.Б. Городовикова»,"668,6",N/A,N/A,N/A
113221,Федеральное государственное бюджетное образовательное учреждение высшего образования «Керченский государственный морской технологический университет»,"158,5",N/A,N/A,N/A
1782,федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный аграрный университет имени И.Т. Трубилина»,"2 876,8",N/A,N/A,N/A
1747,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет физической культуры, спорта и туризма»","13,0",N/A,N/A,N/A
109,федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»,"2 845,3",N/A,N/A,N/A
122,федеральное государственное бюджетное образовательное учреждение высшего образования «Майкопский государственный технологический университет»,"270,6",N/A,N/A,N/A
1678,федеральное государственное бюджетное образовательное учреждение высшего образования «Ростовский государственный университет путей сообщения»,"669,4",N/A,N/A,N/A
278,федеральное государственное бюджетное образовательное учреждение высшего образования «Сочинский государственный университет»,"292,9",N/A,N/A,N/A
334,федеральное государственное бюджетное образовательное учреждение высшего образования «Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова»,"195,4",N/A,N/A,N/A
2070,"Частное образовательное учреждение высшего образования ""Ростовский институт защиты предпринимателя""","71,9",N/A,N/A,N/A
1859,"Частное образовательное учреждение высшего образования ""Таганрогский институт управления и экономики""","114,9",N/A,N/A,N/A
1971,"Частное образовательное учреждение высшего образования ""ЮЖНЫЙ УНИВЕРСИТЕТ (ИУБиП)""","192,0",N/A,N/A,N/A
1932,"Частное учреждение высшего образования ""Южно-Российский гуманитарный институт""","16,4",N/A,N/A,N/A
14013143,"Азово-Черноморский инженерный институт - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Донской государственный аграрный университет"" в г.Зернограде","51,4",N/A,N/A,N/A
14013536,Анапский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский педагогический государственный университет»,"74,3",N/A,N/A,N/A
12012827,Астраханский филиал Образовательного частного учреждения высшего образования «Международный юридический институт» (Астраханский филиал),N/A,N/A,"150,8",N/A
10006723,"Астраханский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","89,9",N/A,N/A,N/A
10000980,"Астраханский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Саратовская государственная юридическая академия""",N/A,N/A,"401,2",N/A
12012757,"Астраханский филиал ЧОУ ВО ""Институт социальных и гуманитарных знаний"" ","2,0",N/A,N/A,N/A
10001849,"Волгоградский институт управления - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","943,1",N/A,N/A,N/A
12012713,"Волгоградский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","156,1",N/A,N/A,N/A
12013065,Волгоградский филиал Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"12,7",N/A,N/A,N/A
12012799,"Волгоградский филиал Аккредитованного образовательного частного учреждения высшего образования ""Московский финансово-юридический университет МФЮА""","114,6",N/A,N/A,N/A
10003318,Волгоградский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"289,3",N/A,N/A,N/A
10003310,Волгодонский инженерно-технический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"84,5",N/A,N/A,N/A
10000092,"Волжский политехнический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Волгоградский государственный технический университет""","71,3",N/A,N/A,N/A
